date,open,high,low,close,volume,average,barCount
2026-04-20 09:30:00-04:00,421.18,423.33,419.68,420.02,766292.0,421.416,3413
2026-04-20 09:32:00-04:00,420.0,421.79,419.53,421.79,174305.0,420.875,1748
2026-04-20 09:34:00-04:00,421.75,422.06,420.63,421.6,121849.0,421.294,1220
2026-04-20 09:36:00-04:00,421.68,421.69,420.16,420.24,136166.0,420.818,1254
2026-04-20 09:38:00-04:00,420.2,420.36,417.86,418.05,346396.0,418.928,2956
2026-04-20 09:40:00-04:00,418.04,418.76,417.41,417.5,287327.0,418.136,2317
2026-04-20 09:42:00-04:00,417.51,418.35,417.39,417.49,167082.0,417.79,1455
2026-04-20 09:44:00-04:00,417.44,418.75,417.11,418.64,196023.0,417.674,1655
2026-04-20 09:46:00-04:00,418.65,419.0,417.87,418.04,120179.0,418.39,1109
2026-04-20 09:48:00-04:00,418.07,418.34,417.66,418.16,97467.0,417.921,1048
2026-04-20 09:50:00-04:00,418.13,418.59,417.88,418.38,118065.0,418.289,1245
2026-04-20 09:52:00-04:00,418.37,419.36,418.33,419.33,105964.0,419.023,1107
2026-04-20 09:54:00-04:00,419.33,420.37,419.32,420.34,136926.0,419.771,1345
2026-04-20 09:56:00-04:00,420.3,420.61,420.08,420.4,114862.0,420.356,1233
2026-04-20 09:58:00-04:00,420.43,420.61,419.91,420.53,110740.0,420.302,1207
2026-04-20 10:00:00-04:00,420.53,421.66,420.53,421.36,224587.0,421.243,2446
2026-04-20 10:02:00-04:00,421.36,422.05,421.27,421.78,183437.0,421.714,1397
2026-04-20 10:04:00-04:00,421.71,422.77,421.63,422.62,171936.0,422.159,1588
2026-04-20 10:06:00-04:00,422.68,422.7,421.33,421.46,171350.0,421.968,1369
2026-04-20 10:08:00-04:00,421.4,422.23,421.4,422.21,120594.0,421.766,1020
2026-04-20 10:10:00-04:00,422.19,422.76,421.78,421.88,104272.0,422.298,1082
2026-04-20 10:12:00-04:00,421.86,422.05,421.36,421.38,88950.0,421.755,700
2026-04-20 10:14:00-04:00,421.39,421.49,420.26,420.31,98855.0,420.928,862
2026-04-20 10:16:00-04:00,420.3,420.66,419.87,420.33,126963.0,420.287,1219
2026-04-20 10:18:00-04:00,420.32,420.41,419.51,419.81,103916.0,419.892,1016
2026-04-20 10:20:00-04:00,419.8,419.98,419.33,419.79,122927.0,419.552,1242
2026-04-20 10:22:00-04:00,419.76,420.5,419.6,420.28,139225.0,420.082,1182
2026-04-20 10:24:00-04:00,420.22,420.7,420.0,420.65,113204.0,420.359,856
2026-04-20 10:26:00-04:00,420.61,421.2,420.46,420.51,93634.0,420.841,904
2026-04-20 10:28:00-04:00,420.48,420.67,419.38,419.5,125230.0,420.02,1048
2026-04-20 10:30:00-04:00,419.47,419.69,419.02,419.06,78275.0,419.42,798
2026-04-20 10:32:00-04:00,419.09,419.52,419.05,419.13,66590.0,419.268,654
2026-04-20 10:34:00-04:00,419.09,419.17,418.85,419.07,108670.0,418.984,967
2026-04-20 10:36:00-04:00,419.11,419.34,418.71,419.24,65966.0,419.018,677
2026-04-20 10:38:00-04:00,419.22,419.6,419.15,419.43,66569.0,419.368,612
2026-04-20 10:40:00-04:00,419.42,419.51,418.85,418.87,72041.0,419.12,722
2026-04-20 10:42:00-04:00,418.88,418.9,418.41,418.44,68198.0,418.651,652
2026-04-20 10:44:00-04:00,418.41,418.67,418.25,418.27,55412.0,418.441,539
2026-04-20 10:46:00-04:00,418.27,418.37,417.94,418.36,75654.0,418.169,725
2026-04-20 10:48:00-04:00,418.36,419.3,418.27,419.19,92014.0,418.784,848
2026-04-20 10:50:00-04:00,419.21,419.32,417.78,418.32,168249.0,418.743,1346
2026-04-20 10:52:00-04:00,418.33,418.71,418.15,418.61,74408.0,418.485,677
2026-04-20 10:54:00-04:00,418.57,418.66,418.23,418.37,72091.0,418.421,664
2026-04-20 10:56:00-04:00,418.41,418.46,417.81,418.24,113376.0,418.084,1052
2026-04-20 10:58:00-04:00,418.26,418.28,417.91,418.1,107036.0,418.054,1024
2026-04-20 11:00:00-04:00,418.12,418.64,418.1,418.17,90265.0,418.348,809
2026-04-20 11:02:00-04:00,418.15,418.3,417.55,417.64,135890.0,417.915,1166
2026-04-20 11:04:00-04:00,417.64,417.74,417.17,417.17,153007.0,417.493,1518
